名前,年齢,プログラミング歴,AIテストの点数
候補生_1号,29,Ruby,43
候補生_2号,24,Python,56
候補生_3号,22,Go,63
候補生_4号,22,Go,67
候補生_5号,34,Ruby,99
候補生_6号,34,Ruby,38
候補生_7号,20,Ruby,76
候補生_8号,33,Ruby,82
候補生_9号,20,Go,76
候補生_10号,26,Go,85
候補生_11号,26,Ruby,94
候補生_12号,29,Python,37
候補生_13号,20,JavaScript,56
候補生_14号,25,Ruby,89
候補生_15号,34,Python,62
候補生_16号,32,JavaScript,30
候補生_17号,35,Ruby,44
候補生_18号,25,Ruby,36
候補生_19号,19,JavaScript,78
候補生_20号,20,Java,57
候補生_21号,34,Java,67
候補生_22号,20,Java,67
候補生_23号,20,Go,40
候補生_24号,22,JavaScript,99
候補生_25号,21,Python,40
候補生_26号,33,Ruby,44
候補生_27号,27,Java,100
候補生_28号,26,Ruby,81
候補生_29号,35,Python,77
候補生_30号,26,Python,48
候補生_31号,22,JavaScript,35
候補生_32号,20,Go,92
候補生_33号,33,Java,47
候補生_34号,27,Python,90
候補生_35号,26,Python,56
候補生_36号,33,Go,75
候補生_37号,26,Go,31
候補生_38号,33,Go,89
候補生_39号,33,JavaScript,47
候補生_40号,33,Go,71
候補生_41号,29,Java,98
候補生_42号,34,JavaScript,73
候補生_43号,24,Python,44
候補生_44号,28,Ruby,71
候補生_45号,19,JavaScript,44
候補生_46号,28,Go,91
候補生_47号,26,Python,66
候補生_48号,19,Ruby,73
候補生_49号,26,Java,95
候補生_50号,20,Go,82
候補生_51号,30,Go,97
候補生_52号,23,Java,54
候補生_53号,23,Java,61
候補生_54号,29,Go,88
候補生_55号,22,Java,83
候補生_56号,33,Go,39
候補生_57号,22,Python,68
候補生_58号,33,Java,74
候補生_59号,22,JavaScript,70
候補生_60号,20,Ruby,72
候補生_61号,23,Go,31
候補生_62号,19,Java,90
候補生_63号,35,Go,69
候補生_64号,18,JavaScript,75
候補生_65号,35,Ruby,63
候補生_66号,18,Python,85
候補生_67号,32,Java,78
候補生_68号,35,Python,61
候補生_69号,26,JavaScript,76
候補生_70号,19,JavaScript,75
候補生_71号,19,Go,48
候補生_72号,24,Python,69
候補生_73号,22,Python,86
候補生_74号,21,Java,91
候補生_75号,24,Python,47
候補生_76号,33,Ruby,80
候補生_77号,27,Ruby,95
候補生_78号,27,Java,75
候補生_79号,31,Python,75
候補生_80号,28,Go,42
候補生_81号,33,Go,69
候補生_82号,20,Java,78
候補生_83号,27,Java,41
候補生_84号,35,Java,48
候補生_85号,30,Java,45
候補生_86号,25,Python,57
候補生_87号,27,Java,59
候補生_88号,30,JavaScript,83
候補生_89号,19,Java,36
候補生_90号,19,JavaScript,73
候補生_91号,23,JavaScript,36
候補生_92号,24,Ruby,46
候補生_93号,34,Java,51
候補生_94号,34,Java,99
候補生_95号,31,Python,89
候補生_96号,23,Java,33
候補生_97号,20,Ruby,34
候補生_98号,22,Ruby,67
候補生_99号,24,JavaScript,56
候補生_100号,32,Ruby,52
